temperature_2m,dew_point_2m,relative_humidity_2m,precipitation,rain,snowfall,snow_depth,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,surface_pressure,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,event_datetime,event_latitude,event_longitude,time,state,county,caused_power_outage,event_type
1.6,-2.1,76,0,0,0,0,25.4,42.5,58,64,44.3,944,100,0,100,99,0.8,-0.2,-1.7,0.7,0.339,0.343,0.292,0.28,18/03/14 9:00,44.0129518,-97.6043451,18/03/14 9:00,kentucky,breckinridge,0,heavy_snow
-2.9,-11.4,52,0,0,0,0,13.3,20.5,357,357,27,1012.4,95,0,8,94,0.2,2,4,8.7,0.334,0.348,0.361,0.322,21/01/14 8:15,40.64559,-73.9558866,21/01/14 8:00,washington,okanogan highlands,0,heavy_snow
-3.6,-13,48,0,0,0,0,13.3,20.5,357,357,27,1007.9,95,0,8,94,-0.2,1.2,3.1,7.9,0.38,0.388,0.4,0.384,21/01/14 8:30,40.750632,-73.9687884,21/01/14 8:00,wyoming,sheridan foothills,0,heavy_snow
5.1,-1.3,64,0,0,0,0.13,22.6,41.4,82,88,34.2,935.7,100,0,87,98,-1,-1.3,-0.3,1.1,0.427,0.418,0.353,0.331,18/03/14 1:00,44.6754502,-97.2005816,18/03/14 1:00,washington,okanogan highlands,0,heavy_snow
-0.1,-3.1,81,0,0,0,0.13,9.1,14.1,263,264,26.3,989.5,100,13,98,99,-1.1,-0.7,1.1,6.9,0.429,0.427,0.453,0.44,14/02/14 15:00,38.4941217,-85.7169081,14/02/14 15:00,kentucky,harrison,0,heavy_snow
-0.9,-3.2,85,0,0,0,0.14,4.6,7.6,288,289,21.2,984,99,5,49,98,-1.2,-0.8,1.2,7.2,0.466,0.464,0.486,0.484,14/02/14 15:00,38.5421361,-86.4953216,14/02/14 15:00,michigan,kalamazoo,0,heavy_snow
-0.2,-2.7,83,0,0,0,0.13,4,6.9,275,279,19.4,986.7,100,2,64,100,-0.8,-0.3,1.8,7.7,0.46,0.459,0.488,0.482,14/02/14 15:00,38.304425,-86.444022,14/02/14 15:00,new mexico,south central mountains,0,heavy_snow
5,-7.7,39,0,0,0,0,10.5,13.8,8,6,23.8,1019.4,100,0,41,100,7.5,5.3,3.8,4.2,0.381,0.389,0.4,0.414,16/03/14 17:00,39.2587546,-76.1038454,16/03/14 17:00,connecticut,southern middlesex,0,heavy_snow
-3.2,-11.6,52,0,0,0,0,13.3,20.5,357,357,27,1012.9,95,0,8,94,-0.5,1.4,3.6,8.4,0.37,0.384,0.401,0.363,21/01/14 8:45,40.7487854,-73.9370923,21/01/14 8:00,kansas,woodson,0,heavy_snow
-4.9,-15.6,43,0,0,0,0.01,10.2,15,352,350,28.4,1000.5,97,0,31,96,-0.1,0.9,2.6,7.1,0.33,0.338,0.354,0.326,21/01/14 10:15,41.1968277,-73.7255505,21/01/14 10:00,washington,washington palouse,0,heavy_snow
